リポジトリ名,GitHub URL,名前A,ドメイン1,ドメイン2,ドメイン3,名前B,ドメイン1,ドメイン2,ドメイン3,Description,説明文
alexstyl/Memento-Calendar,https://github.com/alexstyl/Memento-Calendar,k-nishiura,Android,Utility,,,,,,The sweetest calendar for Android,Android向けの最高のカレンダー
alibaba/atlas,https://github.com/alibaba/atlas,k-nishiura,Android,Middleware,,,,,,A powerful Android Dynamic Component Framework.,強力なAndroid Dynamic Component Framework。
AltBeacon/android-beacon-library,https://github.com/AltBeacon/android-beacon-library,k-nishiura,Android,Network,,,,,,Allows Android apps to interact with BLE beacons,AndroidアプリがBLEビーコンと対話できるようにします
andrey7mel/android-step-by-step,https://github.com/andrey7mel/android-step-by-step,k-nishiura,Android,Development,,,,,,Android app step by step: https://habrahabr.ru/company/rambler-co/blog/275943/,Androidアプリの手順：https://habrahabr.ru/company/rambler-co/blog/275943/
android10/frodo2,https://github.com/android10/frodo2,k-nishiura,Android,Development,Programing,,,,,Android Library for Logging RxJava2 Components,RxJava2コンポーネントを記録するためのAndroidライブラリ
androidannotations/androidannotations,https://github.com/androidannotations/androidannotations,k-nishiura,Android,Development,Operation,,,,,Fast Android Development. Easy maintainance.,高速なAndroid開発。簡単なメンテナンス。
apollographql/apollo-android,https://github.com/apollographql/apollo-android,k-nishiura,Android,Data,Performance,,,,,:pager: A strongly-typed - caching GraphQL client for Android and the JVM,：pager：厳密に型指定された-AndroidおよびJVM用のGraphQLクライアントのキャッシュ
AzureAD/azure-activedirectory-library-for-android,https://github.com/AzureAD/azure-activedirectory-library-for-android,k-nishiura,Android,Operation,,,,,,The ADAL SDK for Android gives you the ability to add support for Work Accounts to your application with just a few lines of additional code. This SDK gives your application the full functionality of Microsoft Azure AD - including industry standard protocol support for OAuth2 - Web API integration with user level consent - and two factor authentication support.,Android用ADAL SDKを使用すると、わずか数行の追加コードで作業アカウントのサポートをアプリケーションに追加できます。このSDKは、アプリケーションにMicrosoft Azure ADの完全な機能を提供します-OAuth2の業界標準プロトコルサポート-ユーザーレベルの同意を伴うWeb API統合-および2要素認証サポート。
blipinsk/cortado,https://github.com/blipinsk/cortado,k-nishiura,Android,Testing,,,,,,Android Espresso made more fluent :coffee:,Android Espressoがより流madeになりました：coffee：
braintree/android-card-form,https://github.com/braintree/android-card-form,k-nishiura,Android,Financial,,,,,,A ready-made card form layout that can be included in your Android app - making it easy to accept credit and debit cards.,Androidアプリに含めることができる既製のカードフォームレイアウト-クレジットカードとデビットカードを簡単に受け入れることができます。
commonsguy/cwac-saferoom,https://github.com/commonsguy/cwac-saferoom,k-nishiura,Android,Database,Security,,,,,CWAC-SafeRoom: A Room<->SQLCipher for Android Bridge,CWAC-SafeRoom：ルーム<-> Android Bridge用のSQLCipher
d4rken/RxShell,https://github.com/d4rken/RxShell,k-nishiura,Android,OS,,,,,,Easy shell access for Android apps using RxJava.,RxJavaを使用したAndroidアプリの簡単なシェルアクセス。
devnied/EMV-NFC-Paycard-Enrollment,https://github.com/devnied/EMV-NFC-Paycard-Enrollment,t-shiotsu,Android,Utility,Financial,,,,,A Java library used to read and extract data from NFC EMV credit cards (Android/PCSC).,NFC EMVクレジットカード（Android / PCSC）からデータを読み取り、抽出するために使用されるJavaライブラリ。
dmfs/opentasks,https://github.com/dmfs/opentasks,k-nishiura,Android,Multimedia,,,,,,A task app for Android,Android用のタスクアプリ
dronekit/dronekit-android,https://github.com/dronekit/dronekit-android,k-nishiura,Android,Development,Multimedia,,,,,Android DroneKit implementation,Android DroneKitの実装
f-droid/fdroidclient,https://github.com/f-droid/fdroidclient,k-nishiura,Android,,,,,,,Android client application.,Androidクライアントアプリケーション。
facebook/fresco,https://github.com/facebook/fresco,k-nishiura,Android,Multimedia,Operation,,,,,An Android library for managing images and the memory they use.,画像とそれらが使用するメモリを管理するためのAndroidライブラリ。
